Kudos Date,Kudos Type,Parent ID
"Jan 13, 2016, 10:40:01 AM",Activity,468791955
"Jan 13, 2016, 10:40:21 AM",Activity,468752682
"Jan 13, 2016, 10:40:35 AM",Activity,468738197
"Jan 13, 2016, 10:40:45 AM",Activity,468735979
"Jan 13, 2016, 10:41:01 AM",Activity,468927515
"Jan 13, 2016, 10:42:19 AM",Activity,468200241
"Jan 13, 2016, 10:42:50 AM",Activity,468159292
"Jan 13, 2016, 10:43:57 AM",Activity,467542127
"Jan 13, 2016, 10:46:12 AM",Activity,466819870
"Jan 13, 2016, 10:46:45 AM",Activity,466750255
"Jan 13, 2016, 10:47:08 AM",Activity,466708495
"Jan 13, 2016, 10:47:26 AM",Activity,466696274
"Jan 13, 2016, 10:49:58 AM",Activity,465741090
"Jan 15, 2016, 6:12:35 PM",Activity,470866608
"Jan 16, 2016, 1:22:50 AM",Activity,471113161
"Jan 16, 2016, 1:23:07 AM",Activity,471076329
"Jan 16, 2016, 1:23:10 AM",Activity,471071230
"Jan 16, 2016, 1:23:14 AM",Activity,471049492
"Jan 16, 2016, 1:23:33 AM",Activity,471025869
"Jan 16, 2016, 1:24:02 AM",Activity,470946604
"Jan 16, 2016, 1:25:08 AM",Activity,470841965
"Jan 16, 2016, 1:25:43 AM",Activity,470805337
"Jan 16, 2016, 1:27:10 AM",Activity,470579885
"Jan 16, 2016, 1:27:15 AM",Activity,470564866
"Jan 16, 2016, 1:27:23 AM",Activity,470569986
"Jan 16, 2016, 1:28:18 AM",Activity,470168258
"Jan 16, 2016, 1:28:21 AM",Activity,470160605
"Jan 16, 2016, 1:28:26 AM",Activity,470121446
"Jan 17, 2016, 3:08:21 PM",Activity,471848529
"Jan 17, 2016, 3:08:25 PM",Activity,472413010
"Jan 17, 2016, 3:08:28 PM",Activity,471895292
"Jan 18, 2016, 12:51:14 AM",Activity,472678914
"Jan 18, 2016, 1:46:48 PM",Activity,472819460
"Jan 18, 2016, 1:47:10 PM",Activity,472665210
"Jan 18, 2016, 1:47:12 PM",Activity,472677899
"Jan 18, 2016, 1:47:30 PM",Activity,472614343
"Jan 18, 2016, 1:47:34 PM",Activity,472696276
"Jan 18, 2016, 1:47:35 PM",Activity,472701123
"Jan 18, 2016, 1:48:02 PM",Activity,472609651
"Jan 18, 2016, 1:48:24 PM",Activity,472623844
"Jan 18, 2016, 1:49:05 PM",Activity,472563480
"Jan 18, 2016, 1:49:26 PM",Activity,472557801
"Jan 18, 2016, 1:49:45 PM",Activity,472808372
"Jan 18, 2016, 1:50:16 PM",Activity,472558326
"Jan 18, 2016, 1:50:24 PM",Activity,472532511
"Jan 18, 2016, 1:50:37 PM",Activity,472440121
"Jan 19, 2016, 2:11:39 AM",Activity,473232200
"Jan 23, 2016, 3:11:13 AM",Activity,475516859
"Jan 23, 2016, 2:02:36 PM",Activity,471730866
"Jan 23, 2016, 2:02:53 PM",Activity,476133100
"Jan 23, 2016, 2:03:00 PM",Activity,475360947
"Jan 25, 2016, 6:29:48 PM",Activity,478139139
"Jan 27, 2016, 2:49:33 PM",Activity,479566704
"Jan 27, 2016, 2:49:46 PM",Activity,479601609
"Jan 27, 2016, 2:49:55 PM",Activity,479534363
"Jan 27, 2016, 2:50:03 PM",Activity,479356436
"Jan 27, 2016, 2:50:11 PM",Activity,479349853
"Jan 28, 2016, 3:01:01 AM",Activity,480063538
"Jan 31, 2016, 11:18:36 AM",Activity,482255276
"Jan 31, 2016, 11:23:02 AM",Activity,482213377
"Jan 31, 2016, 11:23:11 AM",Activity,482234452
"Jan 31, 2016, 11:23:17 AM",Activity,482190154
"Jan 31, 2016, 11:24:55 AM",Activity,482106594
"Jan 31, 2016, 11:26:23 AM",Activity,477866935
"Jan 31, 2016, 11:29:26 AM",Activity,482131137
"Jan 31, 2016, 11:30:07 AM",Activity,482114572
"Jan 31, 2016, 11:31:14 AM",Activity,482072036
"Feb 1, 2016, 2:51:34 AM",Activity,483183763
"Feb 1, 2016, 2:52:03 AM",Activity,483128370
"Feb 1, 2016, 2:52:37 AM",Activity,483129845
"Feb 1, 2016, 2:52:43 AM",Activity,483121761
"Feb 1, 2016, 2:52:44 AM",Activity,483195039
"Feb 1, 2016, 2:53:02 AM",Activity,483215670
"Feb 1, 2016, 2:53:16 AM",Activity,483096801
"Feb 1, 2016, 2:53:24 AM",Activity,483076484
"Feb 1, 2016, 11:17:42 AM",Activity,483142936
"Feb 3, 2016, 11:54:17 AM",Activity,484715555
"Feb 3, 2016, 11:54:42 AM",Activity,484863929
"Feb 3, 2016, 11:55:19 AM",Activity,484652697
"Feb 3, 2016, 11:56:10 AM",Activity,484574738
"Feb 3, 2016, 11:56:11 AM",Activity,484595441
"Feb 3, 2016, 11:56:19 AM",Activity,484561039
